"GEOD_TRF_CODE","GEOD_TRF_EPSG_NAME","GEOD_TRF_USER_NAME","DESCRIPTION","SOURCE_HORIZCS_CODE","TARGET_HORIZCS_CODE","COORD_TRF_VARIANT","CONCAT_TRF_AREA_OF_USE","COORD_TRF_PATH_CODE","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","CONCAT_TRF_REMARKS","CHANGE_ID"
8000,Adindan to WGS 84 (1),,,4201,4326,1,,8400,1996-10-18 00:00:00,,EPSG,,
8001,Adindan to WGS 84 (2),,,4201,4326,2,,8401,1996-10-18 00:00:00,,EPSG,,
8002,Adindan to WGS 84 (3),,,4201,4326,3,,8402,1996-10-18 00:00:00,,EPSG,,
8003,Adindan to WGS 84 (4),,,4201,4326,4,,8403,1996-10-18 00:00:00,,EPSG,,
8004,Adindan to WGS 84 (5),,,4201,4326,5,,8404,1996-10-18 00:00:00,,EPSG,,
8005,Adindan to WGS 84 (6),,,4201,4326,6,,8405,1996-10-18 00:00:00,,EPSG,,
8006,Adindan to WGS 84 (7),,,4201,4326,7,,8406,1996-10-18 00:00:00,,EPSG,,
8007,Afgooye to WGS 84 (1),,,4205,4326,1,,8407,1996-10-18 00:00:00,,EPSG,,
8008,AGD66 to WGS 84 (1),,,4202,4326,1,,8408,1996-10-18 00:00:00,,EPSG,,
8009,AGD84 to WGS 84 (1),,,4203,4326,1,,8409,1996-10-18 00:00:00,,EPSG,,
8010,Ain el Abd to WGS 84 (1),,,4204,4326,1,,8410,1996-10-18 00:00:00,,EPSG,,
8011,Ain el Abd to WGS 84 (2),,,4204,4326,2,,8411,1996-10-18 00:00:00,,EPSG,,
8012,Amersfoort to WGS 84 (1),,,4289,4326,1,,8412,1996-10-18 00:00:00,,EPSG,,
8013,Arc 1950 to WGS 84 (1),,,4209,4326,1,,8413,1996-10-18 00:00:00,,EPSG,,
8014,Arc 1950 to WGS 84 (2),,,4209,4326,2,,8414,1996-10-18 00:00:00,,EPSG,,
8015,Arc 1950 to WGS 84 (3),,,4209,4326,3,,8415,1996-10-18 00:00:00,,EPSG,,
8016,Arc 1950 to WGS 84 (4),,,4209,4326,4,,8416,1996-10-18 00:00:00,,EPSG,,
8017,Arc 1950 to WGS 84 (5),,,4209,4326,5,,8417,1996-10-18 00:00:00,,EPSG,,
8018,Arc 1950 to WGS 84 (6),,,4209,4326,6,,8418,1996-10-18 00:00:00,,EPSG,,
8019,Arc 1950 to WGS 84 (7),,,4209,4326,7,,8419,1996-10-18 00:00:00,,EPSG,,
8020,Arc 1950 to WGS 84 (8),,,4209,4326,8,,8420,1996-10-18 00:00:00,,EPSG,,
8021,Arc 1950 to WGS 84 (9),,,4209,4326,9,,8421,1996-10-18 00:00:00,,EPSG,,
8022,Arc 1960 to WGS 84 (1),,,4210,4326,1,,8422,1996-10-18 00:00:00,,EPSG,,
8023,Batavia to WGS 84 (1),,,4211,4326,1,,8423,1996-10-18 00:00:00,,EPSG,,
8024,Bermuda 1957 to WGS 84 (1),,,4216,4326,1,,8424,1996-10-18 00:00:00,,EPSG,,
8025,Bogota to WGS 84 (1),,,4218,4326,1,,8425,1996-10-18 00:00:00,,EPSG,,
8026,Bukit Rimpah to WGS 84 (1),,,4219,4326,1,,8426,1996-10-18 00:00:00,,EPSG,,
8027,Campo Inchauspe to WGS 84 (1),,,4221,4326,1,,8427,1996-10-18 00:00:00,,EPSG,,
8028,Cape to WGS 84 (1),,,4222,4326,1,,8428,1996-10-18 00:00:00,,EPSG,,
8029,Cape to WGS 84 (2),,,4222,4326,2,,8429,1996-10-18 00:00:00,,EPSG,,
8030,Carthage to WGS 84 (1),,,4223,4326,1,,8430,1996-10-18 00:00:00,,EPSG,,
8031,Chua to WGS 84 (1),,,4224,4326,1,,8431,1996-10-18 00:00:00,,EPSG,,
8032,Corrego Alegre to WGS 84 (1),,,4225,4326,1,,8432,1996-10-18 00:00:00,,EPSG,,
8033,ED50 to WGS 84 (1),,,4230,4326,1,,8433,1996-10-18 00:00:00,,EPSG,,
8034,ED50 to WGS 84 (2),,,4230,4326,2,,8434,1996-10-18 00:00:00,,EPSG,,
8035,ED50 to WGS 84 (3),,,4230,4326,3,,8435,1996-10-18 00:00:00,,EPSG,,
8036,ED50 to WGS 84 (4),,,4230,4326,4,,8436,1996-10-18 00:00:00,,EPSG,,
8037,ED50 to WGS 84 (5),,,4230,4326,5,,8437,1996-10-18 00:00:00,,EPSG,,
8038,ED50 to WGS 84 (6),,,4230,4326,6,,8438,1996-10-18 00:00:00,,EPSG,,
8039,ED50 to WGS 84 (7),,,4230,4326,7,,8439,1996-10-18 00:00:00,,EPSG,,
8040,ED50 to WGS 84 (8),,,4230,4326,8,,8440,1996-10-18 00:00:00,,EPSG,,
8041,ED50 to WGS 84 (9),,,4230,4326,9,,8441,1996-10-18 00:00:00,,EPSG,,
8042,ED50 to WGS 84 (10),,,4230,4326,10,,8442,1996-10-18 00:00:00,,EPSG,,
8043,ED50 to WGS 84 (11),,,4230,4326,11,,8443,1996-10-18 00:00:00,,EPSG,,
8044,ED50 to WGS 84 (12),,,4230,4326,12,,8444,1996-10-18 00:00:00,,EPSG,,
8045,ED50 to WGS 84 (13),,,4230,4326,13,,8445,1996-10-18 00:00:00,,EPSG,,
8046,ED50 to WGS 84 (14),,,4230,4326,14,Denmark - North Sea;  Germany - North Sea;  Netherlands - offshore;  Norway - North Sea south of 62 deg N; United Kingdom (UKCS) - North Sea south of 62 deg N.,8446,1996-10-18 00:00:00,,EPSG,,
8047,ED50 to WGS 84 (15),,,4230,4326,15,Norway - offshore north of 65 deg N.,8447,1996-10-18 00:00:00,,EPSG,The concatenation of transformations 1147 and 1146 gives the following position vector tfm: dX=-84.491  dY=-100.559  dZ=-114.209 metres rX= -2.4006  rY=-0.5367  rZ=-2.3742 microradians  dS=+0.2947 ppm.,
8048,Egypt 1907 to WGS 84 (1),,,4229,4326,1,,8448,1996-10-18 00:00:00,,EPSG,,
8049,ETRF89 to WGS 84 (1),,,4258,4326,1,,8449,1997-06-19 00:00:00,,EPSG,,97.24
8050,GDA94 to WGS 84 (1),,,4283,4326,1,,8450,1996-10-18 00:00:00,,EPSG,,
8051,GD49 to WGS 84 (1),,,4272,4326,1,,8451,1996-10-18 00:00:00,,EPSG,,
8052,Hu Tzu Shan to WGS 84 (1),,,4236,4326,1,,8452,1996-10-18 00:00:00,,EPSG,,
8053,Indian 1954 to WGS 84 (1),,,4239,4326,1,,8453,1996-10-18 00:00:00,,EPSG,,
8054,Indian 1975 to WGS 84 (1),,,4240,4326,1,,8454,1996-10-18 00:00:00,,EPSG,,
8055,Kalianpur to WGS 84 (1),,,4243,4326,1,,8455,1996-10-18 00:00:00,,EPSG,,
8056,Kalianpur to WGS 84 (2),,,4243,4326,2,,8456,1996-10-18 00:00:00,,EPSG,,
8057,Kandawala to WGS 84 (1),,,4244,4326,1,,8457,1996-10-18 00:00:00,,EPSG,,
8058,Kertau to WGS 84 (1),,,4245,4326,1,,8458,1996-10-18 00:00:00,,EPSG,,
8059,Leigon to WGS 84 (1),,,4250,4326,1,,8459,1996-10-18 00:00:00,,EPSG,,
8060,Liberia 1964 to WGS 84 (1),,,4251,4326,1,,8460,1996-10-18 00:00:00,,EPSG,,
8061,Luzon 1911 to WGS 84 (1),,,4253,4326,1,,8461,1996-10-18 00:00:00,,EPSG,,
8062,Luzon 1911 to WGS 84 (2),,,4253,4326,2,,8462,1996-10-18 00:00:00,,EPSG,,
8063,M'poraloko to WGS 84 (1),,,4266,4326,1,,8463,1996-10-18 00:00:00,,EPSG,,
8064,Mahe 1971 to WGS 84 (1),,,4256,4326,1,,8464,1996-10-18 00:00:00,,EPSG,,
8065,Massawa to WGS 84 (1),,,4262,4326,1,,8465,1996-10-18 00:00:00,,EPSG,,
8066,Merchich to WGS 84 (1),,,4261,4326,1,,8466,1996-10-18 00:00:00,,EPSG,,
8067,Minna to WGS 84 (1),,,4263,4326,1,,8467,1996-10-18 00:00:00,,EPSG,,
8068,Minna to WGS 84 (2),,,4263,4326,2,,8468,1996-10-18 00:00:00,,EPSG,,
8069,Monte Mario to WGS 84 (1),,,4265,4326,1,,8469,1996-10-18 00:00:00,,EPSG,,
8070,NAD27 to WGS 84 (1),,,4267,4326,1,,8470,1996-10-18 00:00:00,,EPSG,,
8071,NAD27 to WGS 84 (2),,,4267,4326,2,,8471,1996-10-18 00:00:00,,EPSG,,
8072,NAD27 to WGS 84 (3),,,4267,4326,3,,8472,1996-10-18 00:00:00,,EPSG,,
8073,NAD27 to WGS 84 (4),,,4267,4326,4,,8473,1996-10-18 00:00:00,,EPSG,,
8074,NAD27 to WGS 84 (5),,,4267,4326,5,,8474,1996-10-18 00:00:00,,EPSG,,
8075,NAD27 to WGS 84 (6),,,4267,4326,6,,8475,1996-10-18 00:00:00,,EPSG,,
8076,NAD27 to WGS 84 (7),,,4267,4326,7,,8476,1996-10-18 00:00:00,,EPSG,,
8077,NAD27 to WGS 84 (8),,,4267,4326,8,,8477,1996-10-18 00:00:00,,EPSG,,
8078,NAD27 to WGS 84 (9),,,4267,4326,9,,8478,1996-10-18 00:00:00,,EPSG,,
8079,NAD27 to WGS 84 (10),,,4267,4326,10,,8479,1996-10-18 00:00:00,,EPSG,,
8080,NAD27 to WGS 84 (11),,,4267,4326,11,,8480,1996-10-18 00:00:00,,EPSG,,
